year,early estimate of date,late estimate of date,active year,type of violence,conflict id new,conflict name,side a id,side b id,side a name,side b name,latitude,longitude,geom_wkt,deaths side a,deaths side b,deaths civilians,deaths unknown,total deaths
2015,2015-02-04T00:00:00,2015-02-05T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.0,37.805278,POINT (37.805278 48.000000),0,0,8,0,8
2015,2015-02-06T00:00:00,2015-02-07T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.0,37.805278,POINT (37.805278 48.000000),0,0,1,0,1
2015,2015-02-11T00:00:00,2015-02-11T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.333333,38.4,POINT (38.400000 48.333333),19,0,0,0,19
2015,2015-02-08T00:00:00,2015-02-09T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.333333,38.4,POINT (38.400000 48.333333),9,0,4,0,13
2015,2015-02-08T00:00:00,2015-02-09T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.145278,37.745,POINT (37.745000 48.145278),0,0,3,0,3
2015,2015-02-15T00:00:00,2015-02-15T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.333333,38.4,POINT (38.400000 48.333333),0,2,0,0,2
2015,2015-03-02T00:00:00,2015-03-03T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),3,0,0,0,3
2015,2015-02-10T00:00:00,2015-02-11T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.15,38.65,POINT (38.650000 48.150000),0,7,0,0,7
2015,2015-02-09T00:00:00,2015-02-10T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.333333,38.4,POINT (38.400000 48.333333),7,0,0,0,7
2015,2015-02-10T00:00:00,2015-02-10T00:00:00,True,1,13306,Ukraine:Novorossiya,369,5914,Government of Ukraine,United Armed Forces of Novorossiya,48.716667,37.533333,POINT (37.533333 48.716667),0,0,16,0,16
